rank,task_id,onet_code,occupation,task,passes_filters,dropped_by,opportunity,fit,money,scale,scale_source,labor_value,reads_text,closed_outcome,writes_content,physical,live_human,same_rules,errors_lose_money,loss_recoverable,recoverable_loss,outcome_visible,speed_value,digital_input,licensed_signoff,time_per_item,volume,money_link,buyer,buyer_conf,sell_model,sell_model_conf,min_score_conf,uncertain,model_reported,request_id
,20761,37-3011.00,Landscaping and Groundskeeping Workers,"Operate vehicles or powered equipment, such as mowers, tractors, twin-axle vehicles, snow blowers, chainsaws, electric clippers, sod cutters, or pruning saws.",0,physical+reads_text,0.2489,0.3730,0.2897,0.9657,labor_value_percentile,2868466872,0.0200,0.0400,0.0200,1,0.0200,0.1000,0.5100,0.1900,0.0969,0.3400,0.5300,0,0.0400,0.8400,1.2100,1.1900,real_estate,0.6200,other,0.9500,0.6400,0,jev-1.13.0,req_01a0d5e9d0fd75518ba540d8814a2810
,18916,13-1131.00,Fundraisers,Explain the tax advantages of contributions to potential donors.,0,reads_text,0.2489,0.3875,0.4582,0.6561,labor_value_percentile,307411651,0.1900,0.0300,0.3500,0.0133,0.6700,0.2400,0.5800,0.2600,0.1508,0.4700,0.6400,0.4200,0.1200,0.8400,0.4300,2.0400,other,0.9100,not_outsourced,0.4500,0.3800,1,jev-1.13.0,req_01a0d5e863277da6b306840db75ebe7b
,9611,37-3011.00,Landscaping and Groundskeeping Workers,Attach wires from planted trees to support stakes.,0,physical+reads_text,0.2489,0.3970,0.2902,0.8763,labor_value_percentile,1046674994,0.0300,0.0300,0.0200,1,0.0300,0.1900,0.3900,0.1500,0.0585,0.4600,0.3600,0,0.0500,0.5100,0.2000,1.0100,real_estate,0.7000,per_item,0.5300,0.8000,0,jev-1.13.0,req_01a0d5e11eea75b489ddc2f406b5c683
,23351,45-1011.00,"First-Line Supervisors of Farming, Fishing, and Forestry Workers","Inspect crops, fields, or plant stock to determine conditions and need for cultivating, spraying, weeding, or harvesting.",0,physical+reads_text,0.2489,0.4990,0.5007,0.2723,labor_value_percentile,60599340,0.0600,0.6300,0.0600,0.8633,0.0500,0.2100,0.8100,0.1400,0.1134,0.7600,0.4500,0,0.0500,0.9300,0.9700,1.7900,other,1,not_outsourced,0.3900,0.2000,1,jev-1.13.0,req_01a0d5ec50cf72d6a15b86c59197c589
,13264,43-9051.00,"Mail Clerks and Mail Machine Operators, Except Postal Service","Sort and route incoming mail, and collect outgoing mail, using carts as necessary.",0,physical+reads_text,0.2489,0.4960,0.3253,0.4103,labor_value_percentile,109771279,0.1800,0.1100,0.0300,0.9833,0.0300,0.6700,0.5300,0.2700,0.1431,0.5100,0.7400,0,0.0200,0.4500,2.4000,0.9700,government,0.3500,per_item,0.4600,0.5500,0,jev-1.13.0,req_01a0d5e412a9759cb94e58b8cbaf96ae
,9578,37-2012.00,Maids and Housekeeping Cleaners,"Polish silver accessories and metalwork, such as fixtures and fittings.",0,physical+reads_text,0.2489,0.3950,0.2743,0.8838,labor_value_percentile,1100443031,0.0200,0.0400,0.0200,1,0.0300,0.2100,0.3500,0.1900,0.0665,0.4300,0.5000,0,0.0300,0.6300,0.1200,0.9400,other,0.9700,other,0.2600,0.8800,0,jev-1.13.0,req_01a0d5e1193875a49c5e683fe354e674
,1845,29-1141.00,Registered Nurses,"Monitor all aspects of patient care, including diet and physical activity.",0,physical+reads_text,0.2489,0.3545,0.3907,0.9759,labor_value_percentile,3492279024,0.1500,0.0400,0.0700,0.6733,0.1600,0.2400,0.5600,0.2800,0.1568,0.6300,0.2200,0.0100,0.2000,1.4700,1.8000,1.1600,healthcare_admin,1,not_outsourced,0.8100,0.5600,0,jev-1.13.0,req_01a0d5db4b8478ebbfddabdecb4f8568
,23447,47-2031.00,Carpenters,"Install rough door and window frames, subflooring, fixtures, or temporary supports in structures undergoing construction or repair.",0,physical+reads_text,0.2489,0.3485,0.4157,0.9198,labor_value_percentile,1536657384,0.0300,0.0400,0.0200,1,0.0400,0.2100,0.6800,0.1800,0.1224,0.5700,0.5100,0,0.0600,1.5300,1.2200,1.5600,real_estate,0.9900,other,0.8500,0.4000,0,jev-1.13.0,req_01a0d5ec67fc7424939b5bf2dd7d73e3
,11144,35-1011.00,Chefs and Head Cooks,Meet with sales representatives to negotiate prices or order supplies.,0,reads_text,0.2489,0.3185,0.6583,0.7780,labor_value_percentile,539871843,0.1300,0.0900,0.0900,0.1100,0.8100,0.1000,0.9100,0.5200,0.4732,0.7300,0.6000,0.0200,0.0400,1.6800,0.1000,2.2300,other,0.9200,not_outsourced,0.7300,0.6700,0,jev-1.13.0,req_01a0d5e259847effa6014ce4d490f347
,21072,41-2011.00,Cashiers,Help customers find the location of products.,0,reads_text,0.2488,0.3710,0.2534,0.9838,labor_value_percentile,4323757801,0.1000,0.0500,0.0300,0.5533,0.8800,0.0900,0.2800,0.2900,0.0812,0.3500,0.7900,0,0.0300,0.3600,0.8000,0.9300,other,0.2700,not_outsourced,0.9700,0,1,jev-1.13.0,req_01a0d5ea110872659f42cae9785ea099
,17331,29-1141.02,Advanced Practice Psychiatric Nurses,"Assess patients' mental and physical status, based on the presenting symptoms and complaints.",0,reads_text,0.2488,0.3205,0.4939,0.9756,labor_value_percentile,3488322914,0.1400,0.1500,0.1400,0.4467,0.7200,0.1700,0.6200,0.2900,0.1798,0.6000,0.5200,0,0.3100,1.4700,1.4300,1.9500,healthcare_admin,1,not_outsourced,0.6400,0.3900,1,jev-1.13.0,req_01a0d5e71c877507b81b662a943ae03e
,11155,35-3041.00,"Food Servers, Nonrestaurant","Stock service stations with items, such as ice, napkins, or straws.",0,physical+reads_text,0.2488,0.4085,0.2403,0.8388,labor_value_percentile,760680969,0.0300,0.0300,0.0200,1,0.0600,0.2500,0.3500,0.2000,0.0700,0.3000,0.6800,0,0.0400,0.3900,1.0500,0.9700,other,0.5600,not_outsourced,0.6300,0.7600,0,jev-1.13.0,req_01a0d5e25c6272c0b100035db26671e9
,17877,53-7062.04,Recycling and Reclamation Workers,Operate balers to compress recyclable materials into bundles or bales.,0,physical+reads_text,0.2487,0.3745,0.2795,0.9887,labor_value_percentile,5131506750,0.0300,0.0300,0.0200,1,0.0200,0.2200,0.6000,0.1900,0.1140,0.3200,0.4400,0,0.0400,1.0500,2.1700,1.1200,logistics_supply_chain,0.4200,per_item,0.2800,0.5500,0,jev-1.13.0,req_01a0d5e794477ae8846a66fa305e1df5
,12333,51-9011.00,Chemical Equipment Operators and Tenders,"Adjust controls to regulate temperature, pressure, feed, or flow of liquids or gases and times of prescribed reactions, according to knowledge of equipment and processes.",0,physical+reads_text,0.2487,0.3935,0.4276,0.7109,labor_value_percentile,384469195,0.0500,0.0400,0.0300,0.9667,0.0300,0.2100,0.7700,0.1600,0.1232,0.6400,0.3500,0,0.0500,0.7200,1.3200,1.4900,manufacturing_quality,1,not_outsourced,0.8400,0.4000,0,jev-1.13.0,req_01a0d5e36b3f78739cee98da6e74e38e
,2357,39-9011.01,Nannies,"Observe children's behavior for irregularities, take temperature, transport children to doctor, or administer medications, as directed, to maintain children's health.",0,physical+reads_text,0.2487,0.4055,0.3501,0.7640,labor_value_percentile,502734444,0.0500,0.0500,0.0400,0.9933,0.1000,0.2200,0.4400,0.1900,0.0836,0.6300,0.3000,0,0.0800,0.3900,0.3000,1.0200,other,0.9500,not_outsourced,0.5900,0.7000,0,jev-1.13.0,req_01a0d5dba55d714aa3ad65005a4aa3af
,22783,29-2011.04,Histotechnologists,"Identify tissue structures or cell components to be used in the diagnosis, prevention, or treatment of diseases.",0,physical+reads_text,0.2487,0.4190,0.4930,0.4957,labor_value_percentile,161956007,0.1200,0.3000,0.0800,0.7033,0.0300,0.2900,0.5200,0.2200,0.1144,0.7600,0.6300,0,0.2900,1.1100,1.8400,1.7300,healthcare_admin,1,per_item,0.6800,0.1600,1,jev-1.13.0,req_01a0d5ebc26d792e9ad8315540749d0d
,23068,33-3051.00,Police and Sheriff's Patrol Officers,Direct traffic flow and reroute traffic in case of emergencies.,0,physical+reads_text,0.2486,0.4080,0.2360,0.8604,labor_value_percentile,906445302,0.0400,0.0500,0.0300,0.9767,0.1700,0.2600,0.3800,0.1700,0.0646,0.5000,0.6000,0,0.0500,0.3900,0.6800,0.5000,government,1,not_outsourced,0.9200,0.4800,0,jev-1.13.0,req_01a0d5ec0a837787875bdd263f2ef77a
,9594,37-3011.00,Landscaping and Groundskeeping Workers,Gather and remove litter.,0,physical+reads_text,0.2486,0.3915,0.2354,0.9769,labor_value_percentile,3600531533,0.0200,0.0400,0.0200,1,0.0200,0.1700,0.3500,0.1500,0.0525,0.3100,0.4000,0,0.0300,0.6300,0.8400,0.9500,real_estate,0.7700,other,0.7900,0.6000,0,jev-1.13.0,req_01a0d5e11bcf7ba78c6dc9c89eb786ad
,1089,11-9051.00,Food Service Managers,"Perform some food preparation or service tasks, such as cooking, clearing tables, and serving food and drinks when necessary.",0,physical+reads_text,0.2486,0.3920,0.2823,0.8400,labor_value_percentile,768637858,0.0400,0.0300,0.0300,0.8233,0.2600,0.1900,0.6000,0.2000,0.1200,0.3500,0.7500,0,0.0400,0.4200,0.5900,1.0600,other,1,not_outsourced,0.5900,0.4100,0,jev-1.13.0,req_01a0d5dabf8a722ca9bba50c4cc01b83
,559,31-9091.00,Dental Assistants,Clean and polish removable appliances.,0,physical+reads_text,0.2486,0.3975,0.2665,0.8613,labor_value_percentile,913808016,0.0300,0.0400,0.0200,0.9967,0.0500,0.4500,0.3600,0.2700,0.0972,0.3600,0.6100,0,0.1800,0.7800,0.6200,0.9700,healthcare_admin,0.9900,per_item,0.5200,0.5100,0,jev-1.13.0,req_01a0d5da63e275e488329100ba5f02f4
,9864,47-2073.00,Operating Engineers and Other Construction Equipment Operators,"Select and fasten bulldozer blades or other attachments to tractors, using hitches.",0,physical+reads_text,0.2485,0.3770,0.3503,0.8706,labor_value_percentile,999073532,0.0300,0.0700,0.0200,1,0.0300,0.2800,0.4900,0.1900,0.0931,0.5100,0.4400,0,0.0600,1.2300,0.2800,1.2700,real_estate,0.8600,not_outsourced,0.4500,0.6100,0,jev-1.13.0,req_01a0d5e1583a71b98bf8eccba36c68fb
,3005,49-3042.00,"Mobile Heavy Equipment Mechanics, Except Engines","Clean, lubricate, and perform other routine maintenance work on equipment and vehicles.",0,physical+reads_text,0.2485,0.3875,0.3471,0.7949,labor_value_percentile,592106304,0.0300,0.0400,0.0300,1,0.0300,0.4600,0.5700,0.1800,0.1026,0.4900,0.6100,0,0.0500,1.2600,1.1300,1.2700,manufacturing_quality,0.5500,other,0.5800,0.6600,0,jev-1.13.0,req_01a0d5dc2d49720a99cd9c9d9bfa6b56
,11408,43-9021.00,Data Entry Keyers,"Load machines with required input or output media, such as paper, cards, disks, tape, or Braille media.",0,physical+reads_text,0.2485,0.4190,0.2990,0.7262,labor_value_percentile,411971841,0.0800,0.0400,0.0500,0.7567,0.0200,0.2700,0.4700,0.3900,0.1833,0.4000,0.5800,0.0200,0.0400,0.4800,1.2000,0.9300,media_publishing,0.2400,per_item,0.6000,0.2700,1,jev-1.13.0,req_01a0d5e296327081a8df5ea09d72d979
,5077,39-2021.00,Animal Caretakers,"Provide treatment to sick or injured animals, or contact veterinarians to secure treatment.",0,physical+reads_text,0.2485,0.3950,0.3388,0.8004,labor_value_percentile,609275241,0.0600,0.1200,0.0500,0.7700,0.1600,0.2000,0.5400,0.1900,0.1026,0.5600,0.4400,0.0100,0.1600,0.6600,0.4900,1.0500,other,0.9200,not_outsourced,0.3300,0.5100,0,jev-1.13.0,req_01a0d5dd98547c769ae3541e627a522a
,11626,49-2011.00,"Computer, Automated Teller, and Office Machine Repairers",Reinstall software programs or adjust settings on existing software to fix machine malfunctions.,0,reads_text,0.2485,0.4415,0.4376,0.4472,labor_value_percentile,129319847,0.1300,0.0500,0.0600,0.2133,0.0600,0.2100,0.5400,0.2900,0.1566,0.7600,0.8200,0.5400,0.0500,1.1100,0.6900,1.2200,software_it,0.7500,other,0.7800,0.3600,1,jev-1.13.0,req_01a0d5e2c7ed7e44a5b261e58db0e800
,18895,13-1075.00,Labor Relations Specialists,"Write letters related to labor relations activities, such as letters to amend collective bargaining agreements, letters of dispute or conciliation, or letters to seek clarification of contract terms.",0,reads_text,0.2485,0.3985,0.5368,0.5368,labor_value_percentile,191032078,0.2600,0.0300,0.9600,0.0033,0.1100,0.2100,0.8300,0.3700,0.3071,0.5800,0.5600,0.9600,0.0600,1.3800,0.4900,2.0300,hr_recruiting,0.8000,other,0.3500,0.0300,1,jev-1.13.0,req_01a0d5e85de5710993b1b668f086c1cf
,13672,47-5023.00,"Earth Drillers, Except Oil and Gas","Select the appropriate drill for the job, using knowledge of rock or soil conditions.",0,physical+reads_text,0.2485,0.5300,0.4826,0.2023,labor_value_percentile,42991198,0.0800,0.8300,0.0400,0.7733,0.0500,0.1300,0.7600,0.2000,0.1520,0.6300,0.5200,0.0100,0.0700,1.0500,0.7400,1.8600,other,0.4000,other,0.5200,0.1100,1,jev-1.13.0,req_01a0d5e454cd766cb77b59bf8571b566
,14645,15-1253.00,Software Quality Assurance Analysts and Testers,Plan test schedules or strategies in accordance with project scope or delivery dates.,0,reads_text,0.2485,0.3725,0.3889,0.8226,labor_value_percentile,688966212,0.2600,0.0500,0.8600,0.0033,0.0900,0.1200,0.6700,0.2500,0.1675,0.6800,0.5400,1,0.0300,2.1600,0.1200,1.0100,software_it,1,other,0.8600,0.8800,0,jev-1.13.0,req_01a0d5e525ed72f586e5d3d0f9c1b8c4
,5449,19-3034.00,School Psychologists,"Select, administer, and score psychological tests.",0,reads_text,0.2484,0.4285,0.3093,0.6851,labor_value_percentile,345619632,0.1700,0.2000,0.1800,0.3667,0.1800,0.5900,0.3100,0.2500,0.0775,0.5000,0.5100,0.0100,0.3200,0.9300,0.8800,1.0200,education,1,per_item,0.3100,0.4700,0,jev-1.13.0,req_01a0d5ddd8fe78939d719dfcfdc52acc
,20618,41-4011.00,"Sales Representatives, Wholesale and Manufacturing, Technical and Scientific Products",Initiate sales campaigns to meet sales and production expectations.,0,reads_text,0.2484,0.3605,0.5454,0.6936,labor_value_percentile,357443411,0.0900,0.0400,0.2400,0.0733,0.4600,0.0900,0.7100,0.2100,0.1491,0.7000,0.5300,0.9500,0.0400,2.3700,0.0900,2.1800,sales_marketing,0.9500,not_outsourced,0.2400,0.5700,0,jev-1.13.0,req_01a0d5e9b6f37d1fa323748cfeb2fde2
,11318,43-5041.00,"Meter Readers, Utilities",Connect and disconnect utility services at specific locations.,0,physical+reads_text,0.2484,0.4710,0.6013,0.2231,labor_value_percentile,47797317,0.0900,0.1200,0.0500,0.9000,0.1000,0.6500,0.8600,0.5800,0.4988,0.6700,0.7700,0.3800,0.2500,0.7800,0.7400,1.8800,manufacturing_quality,0.9800,per_item,0.6700,0.2600,1,jev-1.13.0,req_01a0d5e2809a740aadaf7f1e21d60db4
,3421,13-2072.00,Loan Officers,"Market bank products to individuals and firms, promoting bank services that may meet customers' needs.",0,reads_text,0.2484,0.3355,0.5693,0.8023,labor_value_percentile,616533505,0.1300,0.0500,0.0800,0.0633,0.8800,0.1100,0.6400,0.3000,0.1920,0.7100,0.4700,0.1500,0.0700,1.3500,0.8700,2.2400,banking_fintech,0.9000,per_lead,0.5500,0.4500,0,jev-1.13.0,req_01a0d5dc73df7581947930eb33251386
,21156,51-6062.00,"Textile Cutting Machine Setters, Operators, and Tenders",Inspect products to ensure that the quality standards and specifications are met.,0,physical+reads_text,0.2484,0.5795,0.4306,0.1263,labor_value_percentile,26872517,0.1000,0.6500,0.0500,0.9567,0.0300,0.7900,0.7700,0.1900,0.1463,0.7600,0.6400,0,0.0400,0.7800,2.2000,1.1900,manufacturing_quality,1,not_outsourced,0.5200,0.5600,0,jev-1.13.0,req_01a0d5ea24d67159abc97b8a55cf145e
,7628,23-1021.00,"Administrative Law Judges, Adjudicators, and Hearing Officers",Issue subpoenas and administer oaths in preparation for formal hearings.,0,reads_text,0.2484,0.4380,0.4564,0.4889,labor_value_percentile,157441680,0.1500,0.0700,0.3800,0.1933,0.1900,0.5000,0.6400,0.4100,0.2624,0.4900,0.4600,0.5000,0.2400,0.6900,0.7900,1.7300,government,1,not_outsourced,0.9100,0,1,jev-1.13.0,req_01a0d5dfb21176428c38c0947d4f1da5
,18326,29-1141.03,Critical Care Nurses,Provide post-mortem care.,0,physical+reads_text,0.2484,0.4075,0.2353,0.9273,labor_value_percentile,1687252209,0.0400,0.0400,0.0600,0.9767,0.0900,0.6300,0.4200,0.1900,0.0798,0.3400,0.2400,0,0.2500,0.7200,0.0700,0.8200,healthcare_admin,1,not_outsourced,0.8500,0.6800,0,jev-1.13.0,req_01a0d5e7e2297d9c85141ab23306f99f
,1030,11-3061.00,Purchasing Managers,Represent companies in negotiating contracts and formulating policies with suppliers.,0,reads_text,0.2483,0.2930,0.7540,0.8235,labor_value_percentile,692114482,0.1700,0.0500,0.3500,0.0233,0.8000,0.1000,0.9500,0.4700,0.4465,0.7600,0.6000,0.3900,0.0500,2.4000,0.4100,2.9400,logistics_supply_chain,1,not_outsourced,0.6300,0.5900,0,jev-1.13.0,req_01a0d5dab9917d3eb05542ded04c012d
,2293,35-3031.00,Waiters and Waitresses,Escort customers to their tables.,0,physical+reads_text,0.2483,0.3880,0.2211,0.9481,labor_value_percentile,2281919186,0.0300,0.0500,0.0200,0.9733,0.4600,0.1200,0.2700,0.1900,0.0513,0.2500,0.7600,0,0.0300,0.2400,1.7300,0.9800,other,1,not_outsourced,0.9600,0.5200,0,jev-1.13.0,req_01a0d5db97907bf0ba469572aa0186a6
,22101,17-3028.00,Calibration Technologists and Technicians,Visually inspect equipment to detect surface defects.,0,physical+reads_text,0.2483,0.4905,0.4025,0.3709,labor_value_percentile,93733141,0.0400,0.3900,0.0800,0.9367,0.0300,0.5100,0.6600,0.2300,0.1518,0.7100,0.5300,0,0.0700,0.6000,0.5300,1.0800,manufacturing_quality,0.9900,other,0.3100,0.4700,0,jev-1.13.0,req_01a0d5eb144671619b4b0ff33b8e4c8b
,19337,31-1131.00,Nursing Assistants,"Set up treating or testing equipment, such as oxygen tents, portable radiograph (x-ray) equipment, or overhead irrigation bottles, as directed by a physician or nurse.",0,physical+reads_text,0.2483,0.3850,0.2816,0.8987,labor_value_percentile,1261531889,0.0400,0.0300,0.0300,0.9967,0.0500,0.3600,0.4900,0.2600,0.1274,0.3800,0.6000,0,0.3100,0.5700,0.5200,0.9700,healthcare_admin,1,not_outsourced,0.7600,0.4800,0,jev-1.13.0,req_01a0d5e8c4c171369cca740937ff1d21
,1642,23-2011.00,Paralegals and Legal Assistants,Appraise and inventory real and personal property for estate planning.,0,reads_text,0.2482,0.3050,0.6823,0.8223,labor_value_percentile,687976405,0.2400,0.0700,0.6100,0.5767,0.1500,0.3400,0.8500,0.2900,0.2465,0.8100,0.6200,0.0100,0.3200,1.8300,0.0900,2.7400,legal,0.9600,other,0.7300,0.6100,0,jev-1.13.0,req_01a0d5db27927a04ae840d9c7d82b696
,11169,35-9011.00,Dining Room and Cafeteria Attendants and Bartender Helpers,"Serve ice water, coffee, rolls, or butter to patrons.",0,physical+reads_text,0.2482,0.3920,0.2504,0.8739,labor_value_percentile,1026189079,0.0200,0.0400,0.0200,1,0.3600,0.1500,0.3700,0.1900,0.0703,0.3200,0.8100,0,0.0300,0.2400,2.1900,1,other,0.9800,not_outsourced,0.4700,0.5200,0,jev-1.13.0,req_01a0d5e2600071268cd2b831e2f81499
,1327,15-1244.00,Network and Computer Systems Administrators,"Load computer tapes and disks, and install software and printer paper or forms.",0,physical+reads_text,0.2482,0.4095,0.2591,0.8357,labor_value_percentile,745962383,0.0600,0.0300,0.0400,0.8333,0.0300,0.2400,0.3800,0.2700,0.1026,0.3700,0.4900,0,0.0300,0.4800,0.1300,0.8800,software_it,0.9800,not_outsourced,0.4300,0.5000,0,jev-1.13.0,req_01a0d5dae96974c19182db31a0799ce6
,4320,31-9096.00,Veterinary Assistants and Laboratory Animal Caretakers,"Prepare feed for animals according to specific instructions, such as diet lists or schedules.",0,physical+reads_text,0.2482,0.4895,0.2865,0.5292,labor_value_percentile,185542276,0.1400,0.0400,0.0300,0.9600,0.0300,0.7200,0.5000,0.1900,0.0950,0.4600,0.3100,0.2000,0.1000,0.4800,1.3200,0.9000,healthcare_admin,0.8200,not_outsourced,0.7700,0.6500,0,jev-1.13.0,req_01a0d5dd1ce77f72a1efa6adcaaf7e59
,926,51-8031.00,Water and Wastewater Treatment Plant and System Operators,"Operate and adjust controls on equipment to purify and clarify water, process or dispose of sewage, and generate power.",0,physical+reads_text,0.2482,0.3565,0.4438,0.8782,labor_value_percentile,1060234890,0.0600,0.0300,0.0300,0.7767,0.0300,0.3000,0.8100,0.2200,0.1782,0.6300,0.2700,0,0.0900,1.5600,1.2500,1.5100,manufacturing_quality,0.6000,not_outsourced,0.6900,0.1500,1,jev-1.13.0,req_01a0d5daa1db7b80a3e5162f04833d4f
,10120,51-4031.00,"Cutting, Punching, and Press Machine Setters, Operators, and Tenders, Metal and Plastic","Scribe reference lines on workpieces as guides for cutting operations, according to blueprints, templates, sample parts, or specifications.",0,physical+reads_text,0.2482,0.4370,0.3665,0.5653,labor_value_percentile,216109164,0.1000,0.0300,0.0300,0.9867,0.0200,0.4500,0.6800,0.1300,0.0884,0.6800,0.6200,0,0.0300,0.5400,1.7500,1.0200,manufacturing_quality,1,per_item,0.5800,0.5100,0,jev-1.13.0,req_01a0d5e1978a7af28d1196b4397ce749
,22022,17-3026.00,Industrial Engineering Technologists and Technicians,"Adhere to all applicable regulations, policies, and procedures for health, safety, and environmental compliance.",0,reads_text,0.2482,0.4735,0.4247,0.4357,labor_value_percentile,123190347,0.2100,0.0400,0.0600,0.2633,0.0600,0.7200,0.8600,0.2300,0.1978,0.4800,0.2500,0.5300,0.0700,1.7100,0.5400,1.6600,manufacturing_quality,0.9900,other,0.4200,0.0800,1,jev-1.13.0,req_01a0d5eb005e71f7aa3c19b19eeb2080
,22816,29-2034.00,Radiologic Technologists and Technicians,"Monitor patients' conditions and reactions, reporting abnormal signs to physician.",0,physical+reads_text,0.2482,0.3835,0.3702,0.8145,labor_value_percentile,660258360,0.0700,0.0800,0.0900,0.7533,0.2400,0.2600,0.4700,0.2500,0.1175,0.6100,0.4100,0,0.1700,0.6900,1.6700,1.1400,healthcare_admin,1,not_outsourced,0.8400,0.2600,1,jev-1.13.0,req_01a0d5ebcaf47c448ae3be27da3d9290
,11483,47-2061.00,Construction Laborers,Apply caulking compounds by hand or caulking guns to protect against entry of water or air.,0,physical+reads_text,0.2481,0.3765,0.3116,0.9253,labor_value_percentile,1661594367,0.0200,0.0400,0.0200,1,0.0300,0.1600,0.5600,0.1900,0.1064,0.4700,0.4400,0,0.0600,0.8400,0.2000,1.0400,real_estate,0.9500,other,0.6800,0.8000,0,jev-1.13.0,req_01a0d5e2a54b7660914c3cb8304cb4e2
,9582,37-2012.00,Maids and Housekeeping Cleaners,Replace light bulbs.,0,physical+reads_text,0.2481,0.4130,0.2787,0.7900,labor_value_percentile,578238781,0.0300,0.0400,0.0200,1,0.0300,0.2300,0.3800,0.1900,0.0722,0.4700,0.5000,0,0.0700,0.2700,0.0100,0.8700,other,0.9500,per_item,0.4800,0.8300,0,jev-1.13.0,req_01a0d5e11a0876f9ab5648efac28b46a
,21334,11-3051.00,Industrial Production Managers,Implement operational and emergency procedures.,0,reads_text,0.2481,0.3955,0.4719,0.5964,labor_value_percentile,246367262,0.1200,0.0500,0.1300,0.4033,0.2400,0.4500,0.7900,0.2500,0.1975,0.4600,0.6800,0.3300,0.0600,1.7100,0.0500,2.0600,manufacturing_quality,1,not_outsourced,0.5700,0.0600,1,jev-1.13.0,req_01a0d5ea50d37714ac8a8d40926501a5
,8968,17-2031.00,Bioengineers and Biomedical Engineers,"Evaluate the safety, efficiency, and effectiveness of biomedical equipment.",0,reads_text,0.2481,0.4310,0.5443,0.4108,labor_value_percentile,110004923,0.2300,0.3400,0.2600,0.3400,0.0800,0.3200,0.7400,0.2700,0.1998,0.7700,0.5700,0.0100,0.1100,1.5000,0.4000,1.9000,healthcare_admin,0.7500,other,0.7300,0.0200,1,jev-1.13.0,req_01a0d5e0a7627b8d9813103a4e345216
,19320,31-1131.00,Nursing Assistants,Change bed linens or make beds.,0,physical+reads_text,0.2481,0.4015,0.2381,0.9478,labor_value_percentile,2278901868,0.0300,0.0400,0.0200,1,0.0400,0.3800,0.3300,0.2200,0.0726,0.3300,0.2500,0,0.0900,0.7500,1.1100,0.8800,healthcare_admin,1,not_outsourced,0.6200,0.7600,0,jev-1.13.0,req_01a0d5e8c054786da2cfefa80fe645b8
,21677,15-1252.00,Software Developers,"Supervise and assign work to programmers, designers, technologists, technicians, or other engineering or scientific personnel.",0,reads_text,0.2481,0.3575,0.3312,0.9976,labor_value_percentile,8811555338,0.1200,0.0500,0.0900,0.0033,0.4600,0.1000,0.5500,0.3000,0.1650,0.4500,0.4400,0.3800,0.0400,1.7700,0.6600,1.1000,software_it,1,not_outsourced,0.7400,0.3400,1,jev-1.13.0,req_01a0d5eaa8107d1fae3da6a667661d7a
,15830,11-9199.10,Wind Energy Development Managers,"Provide verbal or written project status reports to project teams, management, subcontractors, customers, or owners.",0,reads_text,0.2481,0.3855,0.2865,0.8769,labor_value_percentile,1050980142,0.1200,0.0400,0.5800,0.0167,0.3700,0.1000,0.5700,0.2800,0.1596,0.3200,0.6600,0.8000,0.0600,1.0800,0.4500,1.0700,manufacturing_quality,0.9100,not_outsourced,0.7900,0.5500,0,jev-1.13.0,req_01a0d5e5ef4173b485c073edb6dae0b5
,13198,41-9011.00,Demonstrators and Product Promoters,Identify interested and qualified customers to provide them with additional information.,0,physical+reads_text,0.2481,0.4445,0.4510,0.4366,labor_value_percentile,123587054,0.0800,0.4500,0.0400,0.7733,0.7300,0.1500,0.4300,0.1600,0.0688,0.7100,0.7100,0,0.0300,0.6600,1.8400,1.6300,sales_marketing,1,per_lead,0.9500,0.3200,1,jev-1.13.0,req_01a0d5e4051d713d84ee4df133f9f981
,11605,47-4071.00,Septic Tank Servicers and Sewer Pipe Cleaners,Ensure that repaired sewer line joints are tightly sealed before backfilling begins.,0,physical+reads_text,0.2481,0.4670,0.5356,0.3115,labor_value_percentile,71611589,0.0600,0.4200,0.0300,0.9733,0.0400,0.5700,0.8000,0.1900,0.1520,0.8200,0.5500,0,0.1200,1.3800,0.6500,1.8300,manufacturing_quality,0.4500,other,0.7400,0.1700,1,jev-1.13.0,req_01a0d5e2c2737f1e81d3cccb9b252e29
,8391,49-9011.00,Mechanical Door Repairers,"Complete required paperwork, such as work orders, according to services performed or required.",0,reads_text,0.2481,0.4485,0.5347,0.3397,labor_value_percentile,81191923,0.1700,0.0500,0.2800,0.0433,0.0400,0.4700,0.8400,0.5200,0.4368,0.5100,0.7600,0.2500,0.0900,0.5700,1.1100,1.8800,manufacturing_quality,0.5200,not_outsourced,0.7400,0.7700,0,jev-1.13.0,req_01a0d5e03b5f78ac83ed388786b2bfe4
,23658,51-9124.00,"Coating, Painting, and Spraying Machine Setters, Operators, and Tenders","Mix paints to match color specifications or original colors, stirring or thinning paints, using spatulas or power mixing equipment.",0,physical+reads_text,0.2480,0.4145,0.3903,0.6164,labor_value_percentile,264110517,0.0500,0.0500,0.0200,1,0.0300,0.3400,0.6900,0.1400,0.0966,0.7200,0.6500,0.0100,0.0400,0.6600,1.0600,1.0900,manufacturing_quality,1,not_outsourced,0.6000,0.5800,0,jev-1.13.0,req_01a0d5ec9dee7ad186f8638ec11be820
